Company Name,High,Low,Last Price,Prv Close,Change,% Gain,PositiveBreakOut,API
Essar Shipping,21.70,21.45,21.60,21.30,0.30,1.41,null,/india/stockpricequote/shipping/essarshipping/ES10 
Radha Madhav,32.75,31,32.50,32.05,0.45,1.41,null,/india/stockpricequote/packaging/radhamadhavcorporation/RMC 
Ratnamani Metal,757.95,747.45,756.95,746.60,10.35,1.40,null,/india/stockpricequote/steel-tubespipes/ratnamanimetalstubes/RMT 
Just Dial,1173.15,1150,1157.15,1141.25,15.90,1.39,null,/india/stockpricequote/miscellaneous/justdial/JD 
Man Industries,48.70,46.30,47.55,46.90,0.65,1.39,null,/india/stockpricequote/steel-tubespipes/manindustries(india)/MII 
Ganesha Ecosph,153.90,148.50,152,149.95,2.05,1.39,null,/india/stockpricequote/textiles-processing/ganeshaecosphere/GP01 
Raymond,508.50,497,504.60,497.85,6.75,1.37,null,/india/stockpricequote/textiles-woollenworsted/raymond/R 
ANG Industries,39.50,38,38.50,38,0.50,1.36,null,/india/stockpricequote/autoancillaries/angindustries/ANG 
Cox & Kings,320,316.50,319.65,315.55,4.10,1.32,null,/india/stockpricequote/miscellaneous/coxkings/CK 
Alchemist,32.80,31.80,31.80,31.40,0.40,1.30,null,/india/stockpricequote/miscellaneous/alchemist/A12 
Indian Terrain,641,633,641,633,8,1.27,null,/india/stockpricequote/textiles-readymadeapparels/indianterrainfashions/ITF 
TIL,521,490,505.95,499.70,6.25,1.26,null,/india/stockpricequote/engineering-heavy/til/TIL 
Rane Brake,339.50,324.80,327,322.95,4.05,1.25,null,/india/stockpricequote/autoancillaries/ranebrakelinings/RBL01 
Mahindra CIE,203.10,200,202,199.50,2.50,1.25,null,/india/stockpricequote/castingsforgings/mahindracieautomotive/MF19 
GRP,1080,1074,1080,1066.80,13.20,1.25,null,/india/stockpricequote/rubber/grp/GRR 
JMT Auto,163.50,156,160.95,159,1.95,1.24,null,/india/stockpricequote/autoancillaries/jmtauto/JMT02 
IOL Chemicals,34.50,32.70,33.30,32.90,0.40,1.23,null,/india/stockpricequote/chemicals/iolchemicalspharmaceuticals/IOL01 
Marico Kaya Ent,1434.95,1384,1401.10,1384.35,16.75,1.22,null,/india/stockpricequote/miscellaneous/maricokayaenterprises/MKE01 
CMC,1956.80,1930,1954.85,1931.65,23.20,1.21,null,/india/stockpricequote/computers-hardware/cmc/CMC 
Panacea Biotec,127.05,120.75,122.80,121.35,1.45,1.20,null,/india/stockpricequote/pharmaceuticals/panaceabiotec/PB02 
Shakti Pumps,221.95,214.95,216.75,214.20,2.55,1.19,null,/india/stockpricequote/pumps/shaktipumps(india)/SPI08 
Tide Water Oil,16443,15047.80,15379.95,15199.80,180.15,1.19,null,/india/stockpricequote/lubricants/tidewateroil/TWO 
Strides Arcolab,1098.90,1060.25,1080.20,1067.60,12.60,1.19,null,/india/stockpricequote/pharmaceuticals/stridesarcolab/SA10 
HUL,957.25,939.45,952.80,941.70,11.10,1.18,null,/india/stockpricequote/personalcare/hindustanunilever/HU 
Khaitan Elec,45,43,43,42.50,0.50,1.18,null,/india/stockpricequote/domesticappliances/khaitanelectricals/KE02 
Relaxo Footwear,684.80,667.10,677.85,670,7.85,1.18,null,/india/stockpricequote/leatherproducts/relaxofootwears/RF07 
Gillette India,4617.80,4505,4537.15,4484.75,52.40,1.17,null,/india/stockpricequote/personalcare/gilletteindia/GI22 
Kothari Product,212.65,208.20,212.65,210.20,2.45,1.17,null,/india/stockpricequote/cigarettes/kothariproducts/KP06 
Sintex Ind,126.80,123.80,126.60,125.15,1.45,1.17,null,/india/stockpricequote/diversified/sintexindustries/SI27 
Vinati Organics,545,528.20,534.95,528.85,6.10,1.16,null,/india/stockpricequote/chemicals/vinatiorganics/VO01 
