Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Relaxo Footwear,509.15,490,490.65,486.95,3.70,0.77,/india/stockpricequote/leatherproducts/relaxofootwears/RF07 
DCM Shriram,174.65,170.60,172.30,171,1.30,0.76,/india/stockpricequote/diversified/dcmshriram/DCM02 
La Opala RG,457.65,445.85,451.50,448.10,3.40,0.76,/india/stockpricequote/glassglassproducts/laopalarg/LOR 
Goa Carbon,86.75,84.50,85.80,85.15,0.65,0.76,/india/stockpricequote/petrochemicals/goacarbon/GC04 
Kanoria Chem,40,39.45,39.75,39.45,0.30,0.76,/india/stockpricequote/chemicals/kanoriachemicalsindustries/KCI01 
INOX Leisure,174.85,171.85,173.60,172.30,1.30,0.76,/india/stockpricequote/mediaentertainment/inoxleisure/INO01 
Persistent,1447.85,1422,1434.25,1423.60,10.65,0.75,/india/stockpricequote/computers-software/persistentsystems/PS15 
Himatsingka Sei,88,86.60,87.50,86.85,0.65,0.75,/india/stockpricequote/textiles-syntheticsilk/himatsingkaseide/HS 
Tara Jewels,89.35,87.05,88.25,87.60,0.65,0.75,/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/tarajewels/TJ01 
Info Edge,973.85,956.15,963.20,956.15,7.05,0.74,/india/stockpricequote/miscellaneous/infoedgeindia/IEI01 
Man Industries,84.25,80.75,82.95,82.35,0.60,0.74,/india/stockpricequote/steel-tubespipes/manindustries(india)/MII 
United Bank,41.65,40.70,41.15,40.85,0.30,0.73,/india/stockpricequote/banks-publicsector/unitedbankindia/UBO 
aurionPro Sol,300,297,298.90,296.80,2.10,0.73,/india/stockpricequote/computers-softwaremediumsmall/aurionprosolutions/PS12 
Tilaknagar Ind,29,28.20,28.45,28.25,0.20,0.71,/india/stockpricequote/breweriesdistilleries/tilaknagarindustries/TI09 
Mangalam Drugs,21.50,20.95,21.25,21.10,0.15,0.71,/india/stockpricequote/pharmaceuticals/mangalamdrugsorganics/MDO 
Rolta,108.70,106.10,107.55,106.80,0.75,0.71,/india/stockpricequote/computers-software/roltaindia/RI15 
Kirloskar Invt,4398,4050,4050,4022.35,27.65,0.70,/india/stockpricequote/finance-general/kirloskarbrothersinvestments/KBI01 
Rane Holdings,609,590,594,589.95,4.05,0.69,/india/stockpricequote/autoancillaries/raneholdings/RH01 
Cipla,637.50,626.30,633.30,628.95,4.35,0.69,/india/stockpricequote/pharmaceuticals/cipla/C 
Precot Meridian,67.10,67.10,67.10,66.65,0.45,0.69,/india/stockpricequote/textiles-spinning-cottonblended/precotmeridian/PM 
Ind-Swift Labs,30,29.15,29.60,29.40,0.20,0.68,/india/stockpricequote/pharmaceuticals/ind-swiftlaboratories/ISL 
Hindustan Media,213.60,208.50,211.80,210.40,1.40,0.68,/india/stockpricequote/mediaentertainment/hindustanmediaventures/HMV 
Nucleus Softwar,216.10,209.60,211.50,210.10,1.40,0.67,/india/stockpricequote/computers-softwaremediumsmall/nucleussoftware/NS 
MBL Infra,393.50,385.10,388,385.40,2.60,0.67,/india/stockpricequote/constructioncontracting-civil/mblinfrastructures/MI06 
Tribhovandas,155,151.55,153,152,1,0.67,/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/tribhovandasbhimjizaveri/TBZ 
JK Bank,129.40,126.80,128.90,128.05,0.85,0.66,/india/stockpricequote/banks-privatesector/jammukashmirbank/JKB 
OnMobile Global,61.95,58.40,60.75,60.35,0.40,0.66,/india/stockpricequote/computers-softwaremediumsmall/onmobileglobal/OG01 
TCI Finance,47,44,46.45,46.15,0.30,0.66,/india/stockpricequote/finance-investments/tcifinance/TCI01 
Datamatics Glob,79.50,76.55,77.55,77.05,0.50,0.65,/india/stockpricequote/computers-softwaremediumsmall/datamaticsglobalservices/DGS01 
SKS Microfin,348.80,342.65,345.95,343.75,2.20,0.65,/india/stockpricequote/finance-general/sksmicrofinance/SM11 
SPIC,24.25,23.50,23.70,23.55,0.15,0.64,/india/stockpricequote/fertilisers/southernpetrochemicalindustriescorporation/SPI01 
Everest Ind,299.70,296,296.90,295,1.90,0.64,/india/stockpricequote/cement-productsbuildingmaterials/everestindustries/EI19 
ESS DEE,375,368,369,366.65,2.35,0.64,/india/stockpricequote/packaging/essdeealuminium/ESS02 
Sanghvi Forging,42,38.20,40.25,40,0.25,0.64,/india/stockpricequote/castingsforgings/sanghviforgingengineering/SFE 
SAIL,89.85,86.20,87.90,87.35,0.55,0.63,/india/stockpricequote/steel-large/steelauthorityindia/SAI 
SJVN,24,23.70,23.85,23.70,0.15,0.63,/india/stockpricequote/power-generationdistribution/sjvn/S11 
Deep Industries,73.75,72.05,73,72.55,0.45,0.63,/india/stockpricequote/oildrillingandexploration/deepindustries/DI24 
Tata Coffee,1022.40,993,1016,1009.70,6.30,0.62,/india/stockpricequote/plantations-teacoffee/tatacoffee/TC14 
Reliance Infra,611.60,594.20,602.85,599.15,3.70,0.62,/india/stockpricequote/power-generationdistribution/relianceinfrastructure/RI38 
Vesuvius India,723,700,701.95,697.65,4.30,0.62,/india/stockpricequote/cement-productsbuildingmaterials/vesuviusindia/VI06 
Nava Bharat Ven,210,206.15,207.45,206.20,1.25,0.62,/india/stockpricequote/diversified/navabharatventures/NBV 
Hitachi Home,815.95,795.10,808.70,803.80,4.90,0.61,/india/stockpricequote/consumergoods-whitegoods/hitachihomelifesolutions/HHL 
Jindal PolyFilm,303.30,292.35,297.20,295.40,1.80,0.61,/india/stockpricequote/packaging/jindalpolyfilms/JPF01 
RSWM,192.50,189,190.25,189.10,1.15,0.61,/india/stockpricequote/textiles-spinning-syntheticblended/rswm/RSW01 
Capital First,344.85,335.15,339.45,337.40,2.05,0.61,/india/stockpricequote/finance-general/capitalfirst/FCH 
Seamec,118.25,114.65,115.70,115,0.70,0.61,/india/stockpricequote/shipping/seamec/S14 
Bliss GVS,75.65,73,74.25,73.80,0.45,0.61,/india/stockpricequote/miscellaneous/blissgvspharma/BGV 
FAG Bearings,3299.95,3212.10,3269,3249.45,19.55,0.61,/india/stockpricequote/bearings/fagbearingsindia/FAG 
Nitco,25.75,24.50,25,24.85,0.15,0.60,/india/stockpricequote/ceramicsgranite/nitco/N52 
Indraprastha,50.60,50,50.25,49.95,0.30,0.60,/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03 
Heidelberg Cem,85.90,84.55,84.85,84.35,0.50,0.60,/india/stockpricequote/cement-major/heidelbergcementindia/HCI02 
Godawari Power,147,143.35,145.85,145,0.85,0.59,/india/stockpricequote/steel-spongeiron/godawaripowerispat/GPI7 
Supreme Infra,253,246,250.50,249.05,1.45,0.59,/india/stockpricequote/constructioncontracting-civil/supremeinfrastructureindia/SII03 
Coromandel Int,320.80,312.55,314.35,312.55,1.80,0.58,/india/stockpricequote/fertilisers/coromandelinternational/CI45 
Ajanta Pharma,2312,2252.85,2281.40,2268.35,13.05,0.58,/india/stockpricequote/pharmaceuticals/ajantapharma/AP22 
Oberoi Realty,261.70,252.50,257,255.55,1.45,0.58,/india/stockpricequote/constructioncontracting-realestate/oberoirealty/OR 
The Byke Hosp,159.50,158.55,159.50,158.60,0.90,0.57,/india/stockpricequote/finance-general/thebykehospitality/SH12 
Hercules Hoists,195.75,190.35,193,191.90,1.10,0.57,/india/stockpricequote/engineering/herculeshoists/HH01 
Usher Agro,53.80,52.90,53.35,53.05,0.30,0.57,/india/stockpricequote/foodprocessing/usheragro/UA01 
Diamond Power,126.60,122.40,124.30,123.60,0.70,0.57,/india/stockpricequote/cables-powerothers/diamondpowerinfrastructure/DC05 
Kansai Nerolac,2004,1982.60,1991.70,1980.45,11.25,0.57,/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP 
Sobha,487.35,478.05,478.85,476.15,2.70,0.57,/india/stockpricequote/constructioncontracting-realestate/sobha/SD6 
Bharat Elec,2337,2292.40,2315,2302.20,12.80,0.57,/india/stockpricequote/electricals/bharatelectronics/BE03 
ACC,1458.50,1438.85,1446.50,1438.45,8.05,0.56,/india/stockpricequote/cement-major/acc/ACC06 
Lyka Labs,27.15,26,26.85,26.70,0.15,0.56,/india/stockpricequote/pharmaceuticals/lykalabs/LL02 
Honda Siel,925,912,918.95,913.90,5.05,0.56,/india/stockpricequote/electricequipment/hondasielpowerproducts/HSP02 
Trent,1463.15,1434.05,1450,1442,8,0.55,/india/stockpricequote/retail/trent/T04 
Geojit BNP,36.85,36,36.80,36.60,0.20,0.55,/india/stockpricequote/finance-general/geojitbnpparibasfinancialservices/GBN01 
Golden Tobacco,37.95,35.30,36.50,36.30,0.20,0.55,/india/stockpricequote/cigarettes/goldentobacco/GT09 
GlaxoSmith Con,5775,5720.05,5727,5695.45,31.55,0.55,/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04 
Omaxe,128,127,127.50,126.80,0.70,0.55,/india/stockpricequote/constructioncontracting-realestate/omaxe/O02 
Centum Electron,630,615,626.25,622.80,3.45,0.55,/india/stockpricequote/electricals/centumelectronics/CE10 
Ranbaxy Labs,621.80,610.55,619.05,615.65,3.40,0.55,/india/stockpricequote/pharmaceuticals/ranbaxylaboratories/RL 
APL Apollo,329.75,316,328,326.20,1.80,0.55,/india/stockpricequote/steel-tubespipes/aplapollotubes/BT09 
Ruchi Soya,37.70,37,37.50,37.30,0.20,0.55,/india/stockpricequote/edibleoilssolventextraction/ruchisoyaindustries/RSI 
Akzo Nobel,1290,1268,1273.20,1266.40,6.80,0.54,/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI 
De Nora India,154,150.90,152,151.20,0.80,0.54,/india/stockpricequote/electricequipment/denoraindia/DNI 
Idea Cellular,164.15,162.50,163.90,163.05,0.85,0.53,/india/stockpricequote/telecommunications-service/ideacellular/IC8 
Essar Oil,96.80,94.55,96,95.50,0.50,0.52,/india/stockpricequote/refineries/essaroil/EO01 
HCL Info,68.50,67.30,67.65,67.30,0.35,0.52,/india/stockpricequote/computers-hardware/hclinfosystems/HCL 
Asahi India,127.60,125.50,125.80,125.15,0.65,0.52,/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01 
Apcotex Ind,451,440.60,446,443.70,2.30,0.52,/india/stockpricequote/rubber/apcotexindustries/AI58 
MphasiS,411.85,402.05,407.30,405.20,2.10,0.52,/india/stockpricequote/computers-software/mphasis/MB02 
Union Bank,206.45,202.05,204.65,203.60,1.05,0.52,/india/stockpricequote/banks-publicsector/unionbankindia/UBI01 
Zuari Agro Chem,274,266.10,268.95,267.55,1.40,0.52,/india/stockpricequote/fertilisers/zuariagrochemicals/ZAC 
Lupin,1456.40,1431,1447.95,1440.40,7.55,0.52,/india/stockpricequote/pharmaceuticals/lupin/L 
Vinati Organics,428.95,421,425.75,423.55,2.20,0.52,/india/stockpricequote/chemicals/vinatiorganics/VO01 
Blue Dart,5830,5762.20,5810,5780.10,29.90,0.52,/india/stockpricequote/couriers/bluedartexpress/BDE 
TRF,409,398.30,402.30,400.25,2.05,0.52,/india/stockpricequote/engineering-heavy/trf/TRF 
Hathway Cable,356.85,350.55,352.05,350.25,1.80,0.51,/india/stockpricequote/mediaentertainment/hathwaycabledatacom/HCD 
Oil India,627.70,616.80,619.95,616.80,3.15,0.51,/india/stockpricequote/oildrillingandexploration/oilindia/OI13 
Nilkamal,352,345,345.45,343.70,1.75,0.51,/india/stockpricequote/plastics/nilkamal/NP08 
Schneider Elect,148,145.85,147,146.25,0.75,0.51,/india/stockpricequote/power-generationdistribution/schneiderelectricinfrastructure/SEI04 
Gillette India,3290,3180.10,3206.75,3190.65,16.10,0.51,/india/stockpricequote/personalcare/gilletteindia/GI22 
Karur Vysya,525.40,520,523,520.40,2.60,0.50,/india/stockpricequote/banks-privatesector/karurvysyabank/KVB 
Mahindra Life,495.35,490,492.05,489.65,2.40,0.50,/india/stockpricequote/constructioncontracting-civil/mahindralifespacedevelopers/MLD 
Indian Bank,184.80,181.15,183.05,182.15,0.90,0.49,/india/stockpricequote/banks-publicsector/indianbank/IB04 
Zensar Tech,610,597,598.10,595.20,2.90,0.49,/india/stockpricequote/computers-software/zensartechnologies/ZT02 
Eicher Motors,14410.10,14263.05,14337.05,14267.75,69.30,0.49,/india/stockpricequote/auto-lcvshcvs/eichermotors/EM 
Can Fin Homes,496.95,487,491.25,488.85,2.40,0.49,/india/stockpricequote/finance-housing/canfinhomes/CFH 
P and G,5684,5610.20,5641,5614.15,26.85,0.49,/india/stockpricequote/personalcare/proctergamblehygienehealthcare/PGH 
IRB Infra,262.70,256.20,260.40,259.15,1.25,0.48,/india/stockpricequote/infrastructure-general/irbinfrastructuredevelopers/IID01 
Grindwell Norto,564.90,558.35,564.65,561.95,2.70,0.48,/india/stockpricequote/abrasives/grindwellnorton/GN 
JK Paper,31.95,31.45,31.60,31.45,0.15,0.48,/india/stockpricequote/paper/jkpaper/JKP01 
Swelect Energy,429,420.20,424.15,422.15,2,0.48,/india/stockpricequote/electricequipment/swelectenergysystems/NPS 
Power Finance,303.95,299,300,298.60,1.40,0.47,/india/stockpricequote/finance-termlendinginstitutions/powerfinancecorporation/PFC02 
Container Corp,1452.10,1434,1450,1443.25,6.75,0.47,/india/stockpricequote/transportlogistics/containercorporationindia/CCI 
Ashapura Mine,64.65,63,63.80,63.50,0.30,0.47,/india/stockpricequote/miningminerals/ashapuraminechem/AM07 
Mastek,271,266.60,268.50,267.25,1.25,0.47,/india/stockpricequote/computers-software/mastek/M 
Mirza Intl,43.50,42.50,42.70,42.50,0.20,0.47,/india/stockpricequote/leatherproducts/mirzainternational/MI46 
Sona Koyo Stee,54.10,52.70,53.25,53,0.25,0.47,/india/stockpricequote/autoancillaries/sonakoyosteeringsystems/SKS04 
Atlanta,66.90,65.05,65.40,65.10,0.30,0.47,/india/stockpricequote/constructioncontracting-civil/atlanta/A9 
ICRA,2664.95,2596.20,2634.50,2622.45,12.05,0.46,/india/stockpricequote/miscellaneous/icra/ICR 
DIC India,390,384.10,390,388.20,1.80,0.46,/india/stockpricequote/printingstationery/dicindia/DIC02 
Clariant,878.70,873,875,871.10,3.90,0.46,/india/stockpricequote/dyespigments/clariantchemicalsindia/CCI08 
Guj Mineral,136.70,134.35,135.30,134.70,0.60,0.45,/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD 
Divis Labs,1757.80,1739,1751,1743.20,7.80,0.45,/india/stockpricequote/pharmaceuticals/divislaboratories/DL03 
MRF,33675,32880,33135,32989.70,145.30,0.45,/india/stockpricequote/tyres/mrf/MRF 
Alembic Pharma,427,416.25,421.60,419.75,1.85,0.44,/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35 
IIFL Holdings,185,181.75,184.40,183.60,0.80,0.44,/india/stockpricequote/finance-general/iiflholdings/II15 
Praj Industries,69.50,67.50,68.50,68.20,0.30,0.44,/india/stockpricequote/engineering-heavy/prajindustries/PI17 
Cox & Kings,296.40,291,293,291.75,1.25,0.44,/india/stockpricequote/miscellaneous/coxkings/CK 
Pidilite Ind,445.20,440,441.55,439.65,1.90,0.43,/india/stockpricequote/chemicals/pidiliteindustries/PI11 
ECE Industries,133.90,128.20,128.20,127.65,0.55,0.43,/india/stockpricequote/electricals/eceindustries/ECE 
State Bk Travan,486.65,477.10,480.90,478.85,2.05,0.43,/india/stockpricequote/banks-publicsector/statebanktravancore/SBT 
Munjal Auto Ind,118,111.80,116.25,115.75,0.50,0.43,/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04 
Siyaram Silk,810,794.10,803,799.55,3.45,0.43,/india/stockpricequote/textiles-weaving/siyaramsilkmills/SSM05 
Mahindra Holida,254,251,253,251.95,1.05,0.43,/india/stockpricequote/hotels/mahindraholidaysresortsindia/MHR 
Monnet Ispat,74.85,73.35,74.20,73.90,0.30,0.42,/india/stockpricequote/steel-spongeiron/monnetispat/MI16 
KCP,62,59.05,60.55,60.30,0.25,0.41,/india/stockpricequote/cement-major/kcp/KCP 
Graphite India,85,84.50,84.90,84.55,0.35,0.41,/india/stockpricequote/electrodesgraphite/graphiteindia/GI13 
