CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
Emco,40.95,80833,173911,425519,366282,2 star,1.09,1 star,,,17.10.2014@ Emco: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/electricequipment/emco/E05
Mah Scooters,1018,1584,10922,6578,4601,3 star,41.65,2 star,Yes,,18.07.2014@ Mah Scooters standalone Jun '14 sales at Rs 1.36 crore,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/maharashtrascooters/MS01
Emco,40.95,80833,173911,425519,366282,2 star,1.09,1 star,,,17.10.2014@ Emco: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/electricequipment/emco/E05
Mah Scooters,1018,1584,10922,6578,4601,3 star,41.65,2 star,Yes,,18.07.2014@ Mah Scooters standalone Jun '14 sales at Rs 1.36 crore,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/maharashtrascooters/MS01
Lumax Auto Tech,293.70,8831,94430,81333,39564,3 star,11.02,1 star,Yes,,14.11.2014@ Lumax Auto Tech consolidated Sep '14 sales at Rs 221.77 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01
Celestial Labs,29.90,31845,82339,85888,85822,2 star,0.49,1 star,Yes,,03.06.2014@ Celestial Labs standalone Mar '14 sales at Rs 8.20 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/celestiallabs/CL05
Lumax Auto Tech,293.70,8831,94430,81333,39564,3 star,11.02,1 star,Yes,,14.11.2014@ Lumax Auto Tech consolidated Sep '14 sales at Rs 221.77 crore,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/lumaxautotechnologies/LAT01
Celestial Labs,29.90,31845,82339,85888,85822,2 star,0.49,1 star,Yes,,03.06.2014@ Celestial Labs standalone Mar '14 sales at Rs 8.20 crore,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/celestiallabs/CL05
Oswal ChemandFe,30.15,21637,66857,86446,83272,2 star,2.79,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/fertilisers/oswalchemicalsfertilisers/OCF
AMD Industries,24.10,655,12094,32337,27812,2 star,3.21,1 star,,,13.11.2014@ AMD Industries: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
Dalmia Bharat,493,2108,25676,55830,48809,2 star,6.13,1 star,,BUY,18.11.2014@ Buy Dalmia Bharat advises Mehraboon Irani,http://www.moneycontrol.com/india/stockpricequote/cement-major/dalmiabharat/DBE
Oswal ChemandFe,30.15,21637,66857,86446,83272,2 star,2.79,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/fertilisers/oswalchemicalsfertilisers/OCF
Banaras Beads,54.40,2408,21494,22934,10860,2 star,3.89,1 star,Yes,,31.10.2014@ Banaras Beads standalone Sep '14 sales at Rs 7.82 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/banarasbeads/BB03
Plastiblends,284.45,4796,32149,42903,38482,2 star,20.96,1 star,,,14.11.2014@ Plastiblends: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/plastics/plastiblendsindia/PI13
Dalmia Bharat,493,2108,25676,55830,48809,2 star,6.13,1 star,,BUY,18.11.2014@ Buy Dalmia Bharat advises Mehraboon Irani,http://www.moneycontrol.com/india/stockpricequote/cement-major/dalmiabharat/DBE
Plastiblends,284.45,4796,32149,42903,38482,2 star,20.96,1 star,,,14.11.2014@ Plastiblends: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/plastics/plastiblendsindia/PI13
Banaras Beads,54.40,2408,21494,22934,10860,2 star,3.89,1 star,Yes,,31.10.2014@ Banaras Beads standalone Sep '14 sales at Rs 7.82 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/banarasbeads/BB03
AMD Industries,24.10,655,12094,32337,27812,2 star,3.21,1 star,,,13.11.2014@ AMD Industries: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
Transport Corp,285,91322,280663,417666,277498,2 star,8.50,1 star,,,03.11.2014@ See freight margins rebound to 15% RoCE: Transport Corp,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04
Gujarat Apollo,116.50,2772,8702,6909,5963,3 star,85.29,4 star,,,04.11.2014@ Gujarat Apollo Industries: Board meeting on Nov 14 2014,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/gujaratapolloindustries/GAI03
Rupa and Comp,228,1,2786,6352,5158,2 star,7.80,1 star,,,07.11.2014@ Rupa & Company: Board meeting on Nov 14 2014,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/rupacompany/RC14
Balmer Lawrie,613.20,22383,93403,141460,72573,2 star,54.97,3 star,,,10.11.2014@ Balmer Lawrie & Company: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/packaging/balmerlawriecompany/BLC
Rupa and Comp,228,1,2786,6352,5158,2 star,7.80,1 star,,,07.11.2014@ Rupa & Company: Board meeting on Nov 14 2014,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/rupacompany/RC14
Balmer Lawrie,613.20,22383,93403,141460,72573,2 star,54.97,3 star,,,10.11.2014@ Balmer Lawrie & Company: Updates on outcome of AGM,http://www.moneycontrol.com/india/stockpricequote/packaging/balmerlawriecompany/BLC
Gujarat Apollo,116.50,2772,8702,6909,5963,3 star,85.29,4 star,,,04.11.2014@ Gujarat Apollo Industries: Board meeting on Nov 14 2014,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/gujaratapolloindustries/GAI03
Tata Inv Corp,579,9839,65126,50234,32062,3 star,32.43,2 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/finance-investments/tatainvestmentcorporation/TIC
Tata Inv Corp,579,9839,65126,50234,32062,3 star,32.43,2 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/finance-investments/tatainvestmentcorporation/TIC
Tinplate,70.50,58172,385990,265172,277204,3 star,5.22,1 star,Yes,,23.10.2014@ Tinplate standalone Sep '14 sales at Rs 252.13 crore,http://www.moneycontrol.com/india/stockpricequote/metals-nonferrous/tinplatecompanyindia/TCI02
Tinplate,70.50,58172,385990,265172,277204,3 star,5.22,1 star,Yes,,23.10.2014@ Tinplate standalone Sep '14 sales at Rs 252.13 crore,http://www.moneycontrol.com/india/stockpricequote/metals-nonferrous/tinplatecompanyindia/TCI02
IDFC,154.80,2023256,5057313,6147567,6102205,2 star,11.22,1 star,,,22.11.2014@ Motilal Oswal neutral on IDFC,http://www.moneycontrol.com/india/stockpricequote/finance-termlendinginstitutions/idfc/IDF
IDFC,154.80,2023256,5057313,6147567,6102205,2 star,11.22,1 star,,,22.11.2014@ Motilal Oswal neutral on IDFC,http://www.moneycontrol.com/india/stockpricequote/finance-termlendinginstitutions/idfc/IDF
Transport Corp,285,91322,280663,417666,277498,2 star,8.50,1 star,,,03.11.2014@ See freight margins rebound to 15% RoCE: Transport Corp,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/transportcorporationindia/TCI04
CARE,1442.05,7773,78024,103297,69952,2 star,44.37,2 star,,,17.11.2014@ H2 will be better than H1; higher credit growth a plus:CARE,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR
Dewan Housing,400.50,634978,439801,867402,648325,2 star,41.19,2 star,,BUY,18.11.2014@ JP Morgan buys 9 lakh shares of Dewan Housing,http://www.moneycontrol.com/india/stockpricequote/finance-housing/dewanhousingfinancecorporation/DHF
CARE,1442.05,7773,78024,103297,69952,2 star,44.37,2 star,,,17.11.2014@ H2 will be better than H1; higher credit growth a plus:CARE,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR
Dewan Housing,400.50,634978,439801,867402,648325,2 star,41.19,2 star,,BUY,18.11.2014@ JP Morgan buys 9 lakh shares of Dewan Housing,http://www.moneycontrol.com/india/stockpricequote/finance-housing/dewanhousingfinancecorporation/DHF
DCM Shriram,172.30,56409,461719,354230,164278,3 star,16.84,1 star,Yes,,13.11.2014@ DCM Shriram consolidated Sep '14 sales at Rs 1428.46 crore,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
DCM Shriram,172.30,56409,461719,354230,164278,3 star,16.84,1 star,Yes,,13.11.2014@ DCM Shriram consolidated Sep '14 sales at Rs 1428.46 crore,http://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
INOX Leisure,173.60,28698,440718,276341,186411,3 star,3.83,1 star,,,22.11.2014@ Rel Cap Partners sells 11.49 lakh shares of INOX Leisure,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01
INOX Leisure,173.60,28698,440718,276341,186411,3 star,3.83,1 star,,,22.11.2014@ Rel Cap Partners sells 11.49 lakh shares of INOX Leisure,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/inoxleisure/INO01
Goa Carbon,85.80,9930,49453,145514,118226,2 star,2.51,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/goacarbon/GC04
Goa Carbon,85.80,9930,49453,145514,118226,2 star,2.51,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/goacarbon/GC04
Persistent,1434.25,14931,94485,77334,60308,3 star,62.14,3 star,,,26.11.2014@ To maintain 15% growth in FY15: Persistent Systems,http://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15
Persistent,1434.25,14931,94485,77334,60308,3 star,62.14,3 star,,,26.11.2014@ To maintain 15% growth in FY15: Persistent Systems,http://www.moneycontrol.com/india/stockpricequote/computers-software/persistentsystems/PS15
Tara Jewels,88.25,1580,6949,9051,6160,2 star,16.02,1 star,Yes,,14.11.2014@ Tara Jewels consolidated Sep '14 sales at Rs 385.06 crore,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/tarajewels/TJ01
Man Industries,82.95,328165,574167,774937,662630,2 star,1.56,1 star,,,18.10.2014@ Orange Mauritius sells 7.95 lakh shares of Man Industries,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/manindustries(india)/MII
Tilaknagar Ind,28.45,406658,1477051,1269416,795067,3 star,3.93,1 star,,,17.11.2014@ Will protect EBITDA even if revenue declines: Tilaknagar,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/tilaknagarindustries/TI09
aurionPro Sol,298.90,8839,37638,53670,46370,2 star,14.88,1 star,,,25.11.2014@ Prefer AurionPro Solutions for investment: Ajay Bodke,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/aurionprosolutions/PS12
Man Industries,82.95,328165,574167,774937,662630,2 star,1.56,1 star,,,18.10.2014@ Orange Mauritius sells 7.95 lakh shares of Man Industries,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/manindustries(india)/MII
Tilaknagar Ind,28.45,406658,1477051,1269416,795067,3 star,3.93,1 star,,,17.11.2014@ Will protect EBITDA even if revenue declines: Tilaknagar,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/tilaknagarindustries/TI09
aurionPro Sol,298.90,8839,37638,53670,46370,2 star,14.88,1 star,,,25.11.2014@ Prefer AurionPro Solutions for investment: Ajay Bodke,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/aurionprosolutions/PS12
Rane Holdings,594,4931,8747,6162,4380,3 star,15.22,1 star,,HOLD,13.11.2014@ Rane Holdings: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/raneholdings/RH01
Rolta,107.55,325275,712153,1492151,1045019,2 star,28.48,2 star,Yes,,13.11.2014@ Rolta consolidated Sep '14 total income from operations at Rs 885.79 crore,http://www.moneycontrol.com/india/stockpricequote/computers-software/roltaindia/RI15
Rane Holdings,594,4931,8747,6162,4380,3 star,15.22,1 star,,HOLD,13.11.2014@ Rane Holdings: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/raneholdings/RH01
Rolta,107.55,325275,712153,1492151,1045019,2 star,28.48,2 star,Yes,,13.11.2014@ Rolta consolidated Sep '14 total income from operations at Rs 885.79 crore,http://www.moneycontrol.com/india/stockpricequote/computers-software/roltaindia/RI15
Cipla,633.30,523245,2597671,2191440,1763861,3 star,17.29,1 star,,,26.11.2014@ Go long in Cipla says Ashish Chaturmohta,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
Cipla,633.30,523245,2597671,2191440,1763861,3 star,17.29,1 star,,,26.11.2014@ Go long in Cipla says Ashish Chaturmohta,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/cipla/C
Hindustan Media,211.80,11711,91673,170890,120297,2 star,15.15,1 star,,BUY,27.10.2014@ Buy Hindustan Media; target of Rs 190: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hindustanmediaventures/HMV
Hindustan Media,211.80,11711,91673,170890,120297,2 star,15.15,1 star,,BUY,27.10.2014@ Buy Hindustan Media; target of Rs 190: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/hindustanmediaventures/HMV
MBL Infra,388,7690,18402,41836,41269,2 star,42.90,2 star,Yes,,06.11.2014@ MBL Infra consolidated Sep '14 sales at Rs 351.67 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/mblinfrastructures/MI06
MBL Infra,388,7690,18402,41836,41269,2 star,42.90,2 star,Yes,,06.11.2014@ MBL Infra consolidated Sep '14 sales at Rs 351.67 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/mblinfrastructures/MI06
TCI Finance,46.45,15389,42837,111934,54259,2 star,4.34,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/finance-investments/tcifinance/TCI01
TCI Finance,46.45,15389,42837,111934,54259,2 star,4.34,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/finance-investments/tcifinance/TCI01
Everest Ind,296.90,38491,67524,66394,52840,3 star,6.02,1 star,,,07.11.2014@ Everest Industries director Sandeep H. Junnarkar resigns,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/everestindustries/EI19
Everest Ind,296.90,38491,67524,66394,52840,3 star,6.02,1 star,,,07.11.2014@ Everest Industries director Sandeep H. Junnarkar resigns,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/everestindustries/EI19
SAIL,87.90,5024453,3479078,4911263,4197159,4 star,6.33,1 star,,,25.11.2014@ SAIL's coking coal imports to touch 35 mn tonne by 2025,http://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI
SAIL,87.90,5024453,3479078,4911263,4197159,4 star,6.33,1 star,,,25.11.2014@ SAIL's coking coal imports to touch 35 mn tonne by 2025,http://www.moneycontrol.com/india/stockpricequote/steel-large/steelauthorityindia/SAI
Deep Industries,73,12068,68856,120600,109238,2 star,7.64,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/deepindustries/DI24
Deep Industries,73,12068,68856,120600,109238,2 star,7.64,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/deepindustries/DI24
Tata Coffee,1016,139980,280404,268445,132308,3 star,57.06,3 star,,,17.11.2014@ Tata Coffee to consider sub division of equity shares,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tatacoffee/TC14
Reliance Infra,602.85,1642400,2012959,2282173,2077315,2 star,60.38,3 star,,BUY,18.11.2014@ Buy Reliance Infrastructure says Manas Jaiswal,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/relianceinfrastructure/RI38
Reliance Infra,602.85,1642400,2012959,2282173,2077315,2 star,60.38,3 star,,BUY,18.11.2014@ Buy Reliance Infrastructure says Manas Jaiswal,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/relianceinfrastructure/RI38
Vesuvius India,701.95,1277,9920,5930,5503,3 star,32.11,2 star,Yes,,08.08.2014@ Vesuvius India standalone Jun '14 sales at Rs 157.65 crore,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/vesuviusindia/VI06
Jindal PolyFilm,297.20,134900,117242,187809,176611,2 star,19.81,1 star,,,13.08.2014@ Jindal Poly Films Q1 net jump 10 times to Rs 39 cr,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01
Jindal PolyFilm,297.20,134900,117242,187809,176611,2 star,19.81,1 star,,,13.08.2014@ Jindal Poly Films Q1 net jump 10 times to Rs 39 cr,http://www.moneycontrol.com/india/stockpricequote/packaging/jindalpolyfilms/JPF01
Tara Jewels,88.25,1580,6949,9051,6160,2 star,16.02,1 star,Yes,,14.11.2014@ Tara Jewels consolidated Sep '14 sales at Rs 385.06 crore,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/tarajewels/TJ01
Tata Coffee,1016,139980,280404,268445,132308,3 star,57.06,3 star,,,17.11.2014@ Tata Coffee to consider sub division of equity shares,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tatacoffee/TC14
Hitachi Home,808.70,60234,296498,543794,280543,2 star,2.96,1 star,Yes,,05.11.2014@ Hitachi Home standalone Sep '14 sales at Rs 253.71 crore,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/hitachihomelifesolutions/HHL
RSWM,190.25,3299,34241,27646,28256,3 star,42.68,2 star,,,11.11.2014@ RSWM: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-syntheticblended/rswm/RSW01
RSWM,190.25,3299,34241,27646,28256,3 star,42.68,2 star,,,11.11.2014@ RSWM: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-syntheticblended/rswm/RSW01
Hitachi Home,808.70,60234,296498,543794,280543,2 star,2.96,1 star,Yes,,05.11.2014@ Hitachi Home standalone Sep '14 sales at Rs 253.71 crore,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/hitachihomelifesolutions/HHL
Vesuvius India,701.95,1277,9920,5930,5503,3 star,32.11,2 star,Yes,,08.08.2014@ Vesuvius India standalone Jun '14 sales at Rs 157.65 crore,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/vesuviusindia/VI06
Bliss GVS,74.25,257816,326676,187116,154119,3 star,5.23,1 star,,,30.10.2014@ Bliss GVS: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV
Seamec,115.70,7717,36216,89146,60760,2 star,0.31,1 star,,,17.11.2014@ Seamec: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/shipping/seamec/S14
FAG Bearings,3269,4127,4768,9238,8324,2 star,73.32,3 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/bearings/fagbearingsindia/FAG
Bliss GVS,74.25,257816,326676,187116,154119,3 star,5.23,1 star,,,30.10.2014@ Bliss GVS: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/blissgvspharma/BGV
Seamec,115.70,7717,36216,89146,60760,2 star,0.31,1 star,,,17.11.2014@ Seamec: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/shipping/seamec/S14
FAG Bearings,3269,4127,4768,9238,8324,2 star,73.32,3 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/bearings/fagbearingsindia/FAG
Godawari Power,145.85,7776,58777,50676,34933,3 star,17.08,1 star,,,13.11.2014@ Revenue growth seen at 20-25% in H2FY15: Godawari Power,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/godawaripowerispat/GPI7
Godawari Power,145.85,7776,58777,50676,34933,3 star,17.08,1 star,,,13.11.2014@ Revenue growth seen at 20-25% in H2FY15: Godawari Power,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/godawaripowerispat/GPI7
Coromandel Int,314.35,27283,328134,215476,201003,3 star,12.16,1 star,,BUY,20.11.2014@ Buy Coromandel International; target Rs 400: Motilal Oswal,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
Indraprastha,50.25,17192,59952,97048,96121,2 star,3.87,1 star,Yes,,11.11.2014@ Indraprastha standalone Sep '14 sales at Rs 183.47 crore,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03
Coromandel Int,314.35,27283,328134,215476,201003,3 star,12.16,1 star,,BUY,20.11.2014@ Buy Coromandel International; target Rs 400: Motilal Oswal,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
Supreme Infra,250.50,1643,20323,25445,10965,2 star,44.79,2 star,,,18.11.2014@ Supreme Infra: Updates on addition of orders worth Rs 183.66cr,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/supremeinfrastructureindia/SII03
Indraprastha,50.25,17192,59952,97048,96121,2 star,3.87,1 star,Yes,,11.11.2014@ Indraprastha standalone Sep '14 sales at Rs 183.47 crore,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03
Supreme Infra,250.50,1643,20323,25445,10965,2 star,44.79,2 star,,,18.11.2014@ Supreme Infra: Updates on addition of orders worth Rs 183.66cr,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/supremeinfrastructureindia/SII03
Ajanta Pharma,2281.40,12638,69848,71783,53560,2 star,62.83,3 star,,BUY,12.11.2014@ Buy Ajanta Pharma; target of Rs 2098: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Ajanta Pharma,2281.40,12638,69848,71783,53560,2 star,62.83,3 star,,BUY,12.11.2014@ Buy Ajanta Pharma; target of Rs 2098: Firstcall Research,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/ajantapharma/AP22
Oberoi Realty,257,75735,280857,247927,220177,3 star,8.99,1 star,,,20.11.2014@ Prefer Oberoi Realty: Ashish Jagnani,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-realestate/oberoirealty/OR
Kansai Nerolac,1991.70,1886,54110,33064,17959,3 star,38.33,2 star,,,27.10.2014@ Kansai Nerolac jumps 4% on 40% growth in Q2 bottomline,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP
Bharat Elec,2315,86067,127944,100000,111451,3 star,116.45,5 star,,BUY,26.11.2014@ Buy Bharat Electronics; target of Rs 2600: Motilal Oswal,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
Trent,1450,1528,19118,31316,22501,2 star,16.32,1 star,,,05.11.2014@ Trent: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04
Bharat Elec,2315,86067,127944,100000,111451,3 star,116.45,5 star,,BUY,26.11.2014@ Buy Bharat Electronics; target of Rs 2600: Motilal Oswal,http://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
Kansai Nerolac,1991.70,1886,54110,33064,17959,3 star,38.33,2 star,,,27.10.2014@ Kansai Nerolac jumps 4% on 40% growth in Q2 bottomline,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/kansainerolacpaints/KNP
ACC,1446.50,214848,283921,261262,270153,3 star,58.36,3 star,,,12.11.2014@ Amit Gupta positive on ACC target Rs 1650,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06
Trent,1450,1528,19118,31316,22501,2 star,16.32,1 star,,,05.11.2014@ Trent: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04
ACC,1446.50,214848,283921,261262,270153,3 star,58.36,3 star,,,12.11.2014@ Amit Gupta positive on ACC target Rs 1650,http://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06
GlaxoSmith Con,5727,714,14225,10520,9112,3 star,160.44,5 star,Yes,,06.11.2014@ GlaxoSmith Con standalone Sep '14 sales at Rs 1113.60 crore,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04
Ruchi Soya,37.50,43720,145395,400745,394782,2 star,0.40,1 star,,,12.11.2014@ Ruchi Soya Industries sells its entire 50% stake in Gemini Edibles,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/ruchisoyaindustries/RSI
GlaxoSmith Con,5727,714,14225,10520,9112,3 star,160.44,5 star,Yes,,06.11.2014@ GlaxoSmith Con standalone Sep '14 sales at Rs 1113.60 crore,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04
Ruchi Soya,37.50,43720,145395,400745,394782,2 star,0.40,1 star,,,12.11.2014@ Ruchi Soya Industries sells its entire 50% stake in Gemini Edibles,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/ruchisoyaindustries/RSI
Akzo Nobel,1273.20,165885,22186,22653,21744,4 star,32.19,2 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Akzo Nobel,1273.20,165885,22186,22653,21744,4 star,32.19,2 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
De Nora India,152,1510,4885,12257,6261,2 star,9.00,1 star,Yes,,01.08.2014@ De Nora India standalone Jun '14 sales at Rs 7.20 crore,http://www.moneycontrol.com/india/stockpricequote/electricequipment/denoraindia/DNI
De Nora India,152,1510,4885,12257,6261,2 star,9.00,1 star,Yes,,01.08.2014@ De Nora India standalone Jun '14 sales at Rs 7.20 crore,http://www.moneycontrol.com/india/stockpricequote/electricequipment/denoraindia/DNI
Idea Cellular,163.90,1078372,3986660,3407835,3799325,3 star,5.09,1 star,,,21.11.2014@ No plan to sell tower assets; don't need cash: Idea,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/ideacellular/IC8
Idea Cellular,163.90,1078372,3986660,3407835,3799325,3 star,5.09,1 star,,,21.11.2014@ No plan to sell tower assets; don't need cash: Idea,http://www.moneycontrol.com/india/stockpricequote/telecommunications-service/ideacellular/IC8
Blue Dart,5810,1019,7316,9584,9023,2 star,52.43,3 star,,,22.11.2014@ Blue Dart: Outcome of committe meeting,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
Blue Dart,5810,1019,7316,9584,9023,2 star,52.43,3 star,,,22.11.2014@ Blue Dart: Outcome of committe meeting,http://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
Gillette India,3206.75,2180,12754,13240,9583,2 star,15.78,1 star,Yes,,13.08.2014@ Gillette India standalone Jun '14 sales at Rs 479.72 crore,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
Gillette India,3206.75,2180,12754,13240,9583,2 star,15.78,1 star,Yes,,13.08.2014@ Gillette India standalone Jun '14 sales at Rs 479.72 crore,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
Nilkamal,345.45,19063,65766,79182,51410,2 star,26.83,2 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08
Vinati Organics,425.75,41841,69278,44597,39852,3 star,17.45,1 star,Yes,,04.11.2014@ Vinati Organics standalone Sep '14 sales at Rs 196.39 crore,http://www.moneycontrol.com/india/stockpricequote/chemicals/vinatiorganics/VO01
Nilkamal,345.45,19063,65766,79182,51410,2 star,26.83,2 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plastics/nilkamal/NP08
Vinati Organics,425.75,41841,69278,44597,39852,3 star,17.45,1 star,Yes,,04.11.2014@ Vinati Organics standalone Sep '14 sales at Rs 196.39 crore,http://www.moneycontrol.com/india/stockpricequote/chemicals/vinatiorganics/VO01
